id,name,evo_from_id,image,weight,height,type
21,โอนิดริล,20,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8b326a6f77b73b3c250ba95f3a97fc21b28c8f4b.png,38,1.2,ปกติ บิน
22,อาร์โบ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ad90ec632849d032615d707ebe8ad741651eee06.png,6.9,2,พิษ
23,อาร์บ็อก,22,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/eb3c14ed44c1e4a2ba4c2d7970cddf07cd8ef67f.png,65,3.5,พิษ
24,พิคาชู,23,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,6,0.4,ไฟฟ้า
25,ไรชู,24,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/9c28defa939e230800ec0d0c421d9f82c60df77a.png,30,0.8,ไฟฟ้า
26,แซนด์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f5fcf7a292a180320138ace7235f8a2c16f6594a.png,12,0.6,ดิน
27,แซนด์แพน,26,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/d00d72f082b7dae546fa8bd5cf09fcfe53ffcae8.png,29.5,1,ดิน
28,นิโดรัน♀,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/14179c8ab9c2003fc5b27a29e91e4cd195283d52.png,7,0.4,พิษ
29,นิโดรินา,28,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fed980fd2341745923812e9dcd88a039aaaf36ea.png,20,0.8,พิษ
30,นิโดควีน,29,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5174a41a9db00baf5dd664c92a12254b0baa5fde.png,60,1.3,พิษ ดิน
31,นิโดรัน♂,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/237579eaf2141edad61d647c62f074d53653337b.png,9,0.5,พิษ
32,นิโดริโน,31,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f3d8e45646fb05516dff845922c3d62d9aa33cbe.png,19.5,0.9,พิษ
33,นิโดคิง,32,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ce24d9eb27f4e554ea5bd29840a35957f7bd9d30.png,62,1.4,พิษ ดิน
34,ปิปปี,33,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/18e9dc86ced1320d6846f2c192c4eb04e517963a.png,7.5,0.6,แฟรี่
35,ปิคซี,34,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1865f85f9e417522f8de1a239fbff27f2106783b.png,40,1.3,แฟรี่
36,โรคอน,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f285c634efd141918f6ad066a6f59c20746d9050.png,9.9,0.6,ไฟ
37,คิวคอน,36,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cc96e6a4eee980724ebd725bb8785334d3290074.png,19.9,1.1,ไฟ
38,พูริน,37,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/7a2bec0dd522d66353f0cf3df9148070456a3349.png,5.5,0.5,ปกติ แฟรี่
39,พูคูริน,38,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b3724395d41de1d0def948966c69148bd9f0f9c1.png,12,1,ปกติ แฟรี่
40,ซูแบท,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5d54b9d9cefa287ea258517537ba26f4103dda36.png,7.5,0.8,พิษ บิน
41,โกลแบท,40,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cedbf9afd3155d3df1e2ffebf049902598ebd74b.png,55,1.6,พิษ บิน
42,นาโซโนะคุสะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6bad448cb0997a928b94e72b67eacb861271f796.png,5.4,0.5,หญ้า พิษ
43,คุไซฮานะ,42,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/62973d0fc5f9bd5d8c819b8c885bd1f216983ff1.png,8.6,0.8,หญ้า พิษ
44,รัฟเฟรเซีย,43,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a95af5f577260373074117cb756e5ea38cd674ef.png,18.6,1.2,หญ้า พิษ
45,พารัส,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/837bcac8efc9329d9e3b9e46e95670a5d493b60a.png,5.4,0.3,แมลง หญ้า
46,พาราเซ็คท์,45,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e5838e76eb33d88601ba9d6e045e1bdf7e20f46a.png,29.5,1,แมลง หญ้า
47,คองปัง,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8b550ab54d22a87dc784ee1af6cff4ad33aa10a2.png,30,1,แมลง พิษ
48,มอร์ฟอน,47,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/c57d464a64424f031a9872f2ec3f7c0b8052d3c1.png,12.5,1.5,แมลง พิษ
49,ดิกดา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/583fa625d6fda586a5734f5f9e455952aa6af15f.png,0.8,0.2,ดิน
50,ดักทริโอ,49,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/de7c2ea1a9f39427b4732a6122284f257f9e87aa.png,33.3,0.7,ดิน
51,เนียส,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6ea01871238908780334293e6407033650d803a9.png,4.2,0.4,ปกติ
52,เปอร์เซียน,51,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8da0bb6b5587f2150f41b08e0d61a80827d7229f.png,32,1,ปกติ
53,โคดัก,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0783062d0d860b8ae7d8e859241a700359c4d981.png,19.6,0.8,น้ำ
54,โกลดัก,53,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0dd5b6e921f55c5d49978b84ee66e458336518ae.png,76.6,1.7,น้ำ
55,แมนคี,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/00fb5703d7c2b7a89933bbed89f4c84e48c59ea2.png,28,0.5,ต่อสู้
56,โอโคริซารุ,55,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/37a3edfcf9c5cbdb68bcf8945ff89fe2999e5a30.png,32,1,ต่อสู้
57,การ์ดี,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/333e2aef290059dc46274b77ea4095094784316a.png,19,0.7,ไฟ
58,วินดี,57,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/7ef9e71e9dc624e5558d7b4619f75ea8659eff55.png,155,1.9,ไฟ
59,เนียวโรโมะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8e8d47c5af6084904793496ddddb3e5f516e79f7.png,12.4,0.6,น้ำ
60,เนียวโรโซ,59,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/7e16ace7443d45cc1def215c8cf82beefc69041c.png,20,1,น้ำ
61,เนียวโรบอน,60,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/da2fce266d1c13743742451617b2976d6bfd483d.png,54,1.3,น้ำ ต่อสู้
62,เคซี,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5d05e6f2393a6a72fb36da26a79fd3db95ae7412.png,19.5,0.9,พลังจิต
63,ยุนเกเรอร์,62,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/96613b8fe63edfdf800cde823078fadc6ea9aae9.png,56.5,1.3,พลังจิต
64,ฟูดิน,63,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/265d42cf68deea0a54dacf3a4f1953198f55ad53.png,48,1.5,พลังจิต
65,วันริกี,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0074c7d90ce7d2a6926d28fe777d2bcb0b4ccb0b.png,19.5,0.8,ต่อสู้
66,โกริกี,65,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/634e1c205ab72071fe941043f816a9e2f31db3ae.png,70.5,1.5,ต่อสู้
67,ไคริกี,66,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8f2f69ae05bd6c76f0d6fe6d03f1e22ec1a8010a.png,130,1.6,ต่อสู้
68,มาดาซึโบมิ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/47ae88a63c66e32e957da303ad50b72268e097e4.png,4,0.7,หญ้า พิษ
69,อุซึดง,68,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b19541cee78bc2a00eb3f59f7a2fcca67469eb78.png,6.4,1,หญ้า พิษ
70,อุซึบ็อท,69,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f010b09344a212ecb98c6f209233c0661db0e7a8.png,15.5,1.7,หญ้า พิษ
71,เมโนคุราเกะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3da5f9c26f39884f5f44a861e6965fdc1722241b.png,45.5,0.9,น้ำ พิษ
72,โดคุคุราเกะ,71,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e8720bf3fe40182141dc5f442f5fb83eff544a6e.png,55,1.6,น้ำ พิษ
73,อิชิซึบูเตะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/4b483c95c2124018519380eaa06cc657c5b76a64.png,20,0.4,หิน ดิน
74,โกโลน,73,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f3ae64c5acf41a159e07b63da847cccc773bb184.png,105,1,หิน ดิน
75,โกโลเนีย,74,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/02fb8976b07089e975a9911ae2ff1327b5e3340d.png,300,1.4,หิน ดิน
76,โพนีตะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/dacab2be1777c14ed7da12824dd85c2cdbd2ebf9.png,30,1,ไฟ
77,แกลล็อป,76,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cb874883fcffc227e8d065e275221e1e05ece46c.png,95,1.7,ไฟ
78,ยาดง,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/441132f5cdf87b0e46f96952f16c2dfc75911054.png,36,1.2,น้ำ พลังจิต
79,ยาโดรัน,78,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/4d93d1171a1b9551989b17b4ae6838e4e9e98378.png,78.5,1.6,น้ำ พลังจิต
80,คอยล์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8dfff91e7e39b06d0a9fcfb414565b25de55bdf1.png,6,0.3,ไฟฟ้า โลหะ
81,แรคอยล์,80,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5f8732c548e90780b660f65926e5567755aa2a6c.png,60,1,ไฟฟ้า โลหะ
82,คาโมเนกิ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/810c4dc60ff4f315216717a2ecaa3c7dfe3fcf09.png,15,0.8,ปกติ บิน
83,โดโด,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/63ff86cee884446925e664d99b82e3e8de988412.png,39.2,1.4,ปกติ บิน
84,โดโดริโอ,83,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/de41d6a29c38d65f1f39bc5ecb3afe30c5e057eb.png,85.2,1.8,ปกติ บิน
85,เพาเวา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fc1342f9b5bc761333a44d74dc47ba0ff30ad6c8.png,90,1.1,น้ำ
86,จูกอน,85,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2a2e293a8524ac94136bada7346ddfe57e12e47e.png,120,1.7,น้ำ น้ำแข็ง
87,เบโตเบตา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/57f22ceb2f8765f927ff3fd1f4b4bf52a7033097.png,30,0.9,พิษ
88,เบโตเบตัน,87,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/db91b8849e602828aaff3939f9e0816dd9ce92ab.png,30,1.2,พิษ
89,เชลเดอร์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/36918010e6d91103c9017f4ce4d1764c9f145db8.png,4,0.3,น้ำ
90,พาร์เชน,89,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/d5ebac9e1afe16f2a1d16a7593e022fc576aed9e.png,132.5,1.5,น้ำ น้ำแข็ง
91,โกส,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5c619391fb78cbe0d3646a9b76da07372a18580e.png,0.1,1.3,ผี พิษ
92,โกสท์,91,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b8bcfb490b9a54a7cfc607ac82f413f4e582cb56.png,0.1,1.6,ผี พิษ
93,เก็งกา,92,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/47549471dc54feb8acd4b3de3a27ea8e9e9fd25c.png,40.5,1.5,ผี พิษ
94,อิวาร์ค,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/134d26303c22ac0e0173bdf5121a3a3aae10e36c.png,210,8.8,หิน ดิน
95,สลีป,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1d82671099cdd52c4a0b84724d72033d305538bd.png,32.4,1,พลังจิต
96,สลีปเปอร์,95,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/9d0915f92dac45eca21a50d63799abe53404f7d4.png,75.6,1.6,พลังจิต
97,แครบ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/15ec38c5c458545368bf8e85da77d49f4b09104d.png,6.5,0.4,น้ำ
98,คิงเกลอร์,97,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/04f0bfa98547db408430513e07a15e3655095dca.png,60,1.3,น้ำ
99,บิริริดามา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cfa3cfb38563c9afdb4d6fac40607fa78db97721.png,10.4,0.5,ไฟฟ้า
100,มารุมายน์,99,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/823f1e2536f6036d7423f17fa4969ecd7cf08e00.png,66.6,1.2,ไฟฟ้า
101,ทามะทามะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2b23bf26e6063e8fe37a5122a112abb1a475b052.png,2.5,0.4,หญ้า พลังจิต
102,นัชชี,101,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a17a1d3fbeeba958495697c23b287b1966fd11dc.png,120,2,หญ้า พลังจิต
103,คาระคาระ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6c44a0ccb922bbb4345214f3fa0b9436a03c11f2.png,6.5,0.4,ดิน
104,การะการะ,103,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1a2a79bce9b5c63de4d6db9b895a34ce6bf6733d.png,45,1,ดิน
105,ซาวามูลาร์,104,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3e864b76679d4c2d1e46878dc241e06bdb8f8d1d.png,49.8,1.5,ต่อสู้
106,เอบิวาลาร์,105,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6c57fef755afbd6ddda7f3c21f20bb38159494c6.png,50.2,1.4,ต่อสู้
107,เบโรรินกา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fe41bccc4b1fd3c2ab748d09a157e3c0c28c7700.png,65.5,1.2,ปกติ
108,โดกาซ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fd10b57c1ac95c00638aed70b4a41d679e9af2b6.png,1,0.6,พิษ
109,มาตาโดกัซ,108,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/4c76d556bda94f8eb8b73a9e58ef051262e78b7d.png,9.5,1.2,พิษ
110,ไซฮอร์น,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8de47e638f274aae17eb13dc5c1e6e36e8224775.png,115,1,ดิน หิน
111,ไซดอน,110,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2db37f2dc4e86437160294178fd134fb65a1e8c3.png,120,1.9,ดิน หิน
112,ลัคกี,111,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/67786c71bc7911f9faa28b01ab1b2cf661d4c28f.png,34.6,1.1,ปกติ
113,มอนจารา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e6fdba2d3e167f34a8a75eb7ed3965fb3ddd4df8.png,35,1,หญ้า
114,การูรา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/c959a88d4dd9e2007d466535100ae40439d8ff82.png,80,2.2,ปกติ
115,ทัททู,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/7ef51aff01e21866babb18f14bac42790a65d5db.png,8,0.4,น้ำ
116,ซีดรา,115,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cb1a1ab939d93ed0504753e1fbf7a4e180f733d5.png,25,1.2,น้ำ
117,โทซาคินโตะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/266278a59d39e9770b8f34c9a635243133334a28.png,15,0.6,น้ำ
118,อซึมาโอ,117,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f395dd22d77d0a3f298c4bd261a3c56ecfbdace7.png,39,1.3,น้ำ
119,ฮิโตเดมัน,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2b4031883bcdc61d67e67673af8d893bfa3dba5c.png,34.5,0.8,น้ำ
120,สตาร์มี,119,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6f6ffd1276a2a1fb4aa9843f9e2fed9e79d2ba5f.png,80,1.1,น้ำ พลังจิต
121,บาร์เรียด,120,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3bf0162c653873e4ecf5810c830191bac19cb540.png,54.5,1.3,พลังจิต แฟรี่
122,สไตรค์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/da1f6bb1f75f73b684a5b6902694912b697f6a4d.png,56,1.5,แมลง บิน
123,รูจูลา,122,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/8838c65ba52945317cda0d31f8de760860dd71ec.png,40.6,1.4,น้ำแข็ง พลังจิต
124,เอเลบู,123,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/af28498e1bd42cb316b6e2fa0c34b68f2ce89ce8.png,30,1.1,ไฟฟ้า
125,บูเบอร์,124,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fd5333ca5e2c3de321183c65cf30536cfcd478b0.png,44.5,1.3,ไฟ
126,ไคลอส,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/46dc016521478f4d19e78f6547dd58420a793657.png,55,1.5,แมลง
127,เคนเทารอส,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a0b41d9051cb5c540734d103964d7791105dd243.png,88.4,1.4,ปกติ
128,คอยคิง,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3755f6d1176c7f8c64f663dae13ef9f1406d007a.png,10,0.9,น้ำ
129,เกียราดอส,128,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ee070a971884e2c4da87d7a728e5821f9636f56d.png,235,6.5,น้ำ บิน
130,ลาพลาซ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1583b45023aabc829f405629e4b0d7259f80a2c0.png,220,2.5,น้ำ น้ำแข็ง
131,เมตามอน,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5f27124544444c7565d9dc54c3227f3970aa7454.png,4,0.3,ปกติ
132,อีวุย,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1fab9d9b86c9071e3f10c14b7869e3ec338f1429.png,6.5,0.3,ปกติ
133,ชาวเวอร์ส,132,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/6a744cd8a7461d218c7dab0ff084cad30c4c6872.png,29,1,น้ำ
134,ธันเดอร์ส,133,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/117467cd6471aded1857f44f639965cc3305c4af.png,24.5,0.8,ไฟฟ้า
135,บูสเตอร์,134,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/c837f7f95ed1870458db055583e78c33152c556e.png,25,0.9,ไฟ
136,โพรีกอน,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/211c6c26da2a55b6717119f26bb74a6db7dc9b21.png,36.5,0.8,ปกติ
137,ออมไนต์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/1f2291efe7407a5585b30792e7b81829cc120a0b.png,7.5,0.4,หิน น้ำ
138,ออมสตาร์,137,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/c9b99543b14fc3859bb695d3f45d2e38163aacc0.png,35,1,หิน น้ำ
139,คาบูโตะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f0757ab6ec3fa6574202a4d1646e2967bbe6fd03.png,11.5,0.5,หิน น้ำ
140,คาบูท็อปส์,139,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b27f8689027a59c36e875834453df03f4b200ce9.png,40.5,1.3,หิน น้ำ
141,พเทอรา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0fa47ef9ac7be2f3c447e538152c69e9e2bd3720.png,59,1.8,หิน บิน
142,คาบิกอน,141,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a42f1e83fdb6809384f2461670a1d81e227df05c.png,460,2.1,ปกติ
143,ฟรีเซอร์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a1b9576b6cf4bde4abeb391af3b55c5370205557.png,55.4,1.7,น้ำแข็ง บิน
144,ธันเดอร์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/427bb0b94b44ff442449cfba55dc6829df76891c.png,52.6,1.6,ไฟฟ้า บิน
145,ไฟเยอร์,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/9d83c451429ae1858ff1588ba5724ffbad4b55c1.png,60,2,ไฟ บิน
146,มินิริว,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/27a6cc8fdc7abc93def1b061b582dac7a93430c1.png,3.3,1.8,มังกร
147,ฮาคุริว,146,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f6ae3010972469372d493e3cc4a516c574df3974.png,16.5,4,มังกร
148,ไคริว,147,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ecdc5527d67488c92c242e34458844fe2afac525.png,210,2.2,มังกร บิน
149,มิวทู,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ad7ffb53f984a6623c53f01cfbc06fc8565ecbd4.png,122,2,พลังจิต
150,มิว,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3373da1ae6e9a429e7fc8dbad72bf5f4726eb13b.png,4,0.4,พลังจิต
151,จิโคริตา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e127895003b77059897486f99746811e9cae12fe.png,6.4,0.9,หญ้า
152,เบย์ลีฟ,151,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b6d37d0ff3dc1482af8dc42b5c16aaa3d047776a.png,15.8,1.2,หญ้า
153,เมกาเนียม,152,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/ce0ed390ecb8d857d35fc9f9218107752500889a.png,100.5,1.8,หญ้า
154,ฮิโนอาราชิ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2bb9e4bf2a9b1c425ebdbb8d5178df126c2333e6.png,7.9,0.5,ไฟ
155,แม็กมาราชิ,154,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/b9166e1c91e56572078bf939fa6aea1fc2fefa4f.png,19,0.9,ไฟ
156,บาคุฟูน,155,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/98126582af9f41623f2dde46b3b002ac9dbd1943.png,79.5,1.7,ไฟ
157,วานิโนโกะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5473aeb81495d8b1df4a8940c254404296383f06.png,9.5,0.6,น้ำ
158,อัลลิเกต,157,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/f5c9be79842f37a3e2a006ef55b5f7fb7f3fd1b8.png,25,1.1,น้ำ
159,ออไดล์,158,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/22bb3b1209f265b8385de0b0a16fb792409ccfa4.png,88.8,2.3,น้ำ
160,โอทาจิ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/c62023072207e924d58d36eeaec88f8b3c9f71c7.png,6,0.8,ปกติ
161,โอโอทาจิ,160,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/d299a38705f8996d41b9f90d7adb538d2cee037a.png,32.5,1.8,ปกติ
162,โฮโฮ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/fdbf14547b799ca4c085aef7e726f404040a93dd.png,21.2,0.7,ปกติ บิน
